,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
8,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,3036,9.653863221406935,0.05269733048044145,9.577781677246094
9,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2039,9.114980697631836,0.04502630652859807,9.144567489624023
0,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2543,13.51326620578766,0.06547168223187327,4.798727512359619
1,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,2743,10.285535454750061,0.059046296868473284,8.574024200439451
2,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,4027,9.037459313869476,0.04399732919409871,13.539285659790039
3,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2606,9.99325394630432,0.056208436377346516,8.465255737304688
4,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,3183,9.755326390266418,0.05029877973720431,12.156092643737793
5,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2094,11.350187420845034,0.05737627018243074,10.028164863586426
6,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,2348,11.10066533088684,0.056815750431269414,8.019710540771483
7,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,2918,11.001797199249268,0.054333698004484184,8.601242065429688
8,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,2429,9.176354646682741,0.05009333696216345,5.8549866676330575
9,p-sgd,quadratic,mse,1.5,1024,1,192,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,1603,11.128875017166138,0.0614812457934022,6.4729485511779785
0,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,703,0.04348215367645025,7.327780940613593e-05,0.0009928495856001973
1,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,1261,0.08116010902449489,0.00012491250708990265,0.0009156761807389556
2,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,780,0.0415317052975297,6.088523014113889e-05,0.0009929073275998237
3,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,673,0.050892376340925694,8.643901855975855e-05,0.0009503556648269297
4,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,703,0.04999633878469467,7.505783969463664e-05,0.0009949983796104787
5,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,457,0.06634954456239939,0.00010220463536825264,0.000978912110440433
6,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,811,0.03554847976192832,5.465172625918058e-05,0.0009650812135078012
7,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,543,0.028754143975675106,4.5060481625114335e-05,0.0009560217149555683
8,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,1228,0.07612216379493475,0.00011605434974626404,0.0009735964704304934
9,p-sgd,quadratic,mse,5.0,1024,1,640,0.002,0.9,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,516,0.11895261332392693,0.00018330279817746487,0.0008987806504592301
0,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,501,0.05527774756774306,9.28473136809771e-05,0.000914072443265468
1,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,592,0.0563200362958014,0.00010515022313484224,0.000970429158769548
2,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,898,0.06697631441056727,0.00011916681341972436,0.0009663535165600481
3,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,843,0.0424806228838861,7.300729612325085e-05,0.0008614784455858171
4,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,1420,0.03682505153119564,6.692589795420645e-05,0.0009644567035138607
5,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,939,0.0383512070402503,6.417273607439711e-05,0.0009841694263741374
6,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,1070,0.04057695111259818,7.315726816159442e-05,0.0009821648709475994
7,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,811,0.08830330614000559,0.00015901628285064362,0.0009719181689433752
8,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,672,0.05004252912476659,8.196555154427188e-05,0.000962612044531852
9,p-sgd,quadratic,mse,4.5,1024,1,576,0.002,0.9,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,763,0.06511595426127315,0.0001099409710150212,0.0009256430203095078
0,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,4209,94.08436012268066,0.2517823185771704,6.127337455749513
1,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,3181,108.52607345581056,0.2915852647274733,6.854884147644043
2,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,4176,75.35485410690308,0.1928656455129385,5.455808639526367
3,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,1647,92.54030227661131,0.24358403123915195,4.780030727386475
