,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
1,quadratic,1280,,77,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,24,22,0.6744899999999999,1.0,0.0007184281130321324,0.000154233307512186,0.2027995977550745,0
2,quadratic,1280,,53,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,25,22,0.6744899999999999,1.0,0.0009805685840547085,0.0002264427312184125,0.2852869052439928,0
3,quadratic,1280,,66,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,26,22,0.6744899999999999,1.0,0.0009832654614001513,0.00025962777544918936,0.3358790576457977,0
4,quadratic,1280,,49,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,27,22,0.6744899999999999,1.0,0.0008268108940683304,0.00016381439672841222,0.2160331513732672,0
5,quadratic,1280,,64,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,28,22,0.6744899999999999,1.0,0.0008983439183793963,0.00033454407093813643,0.42438849806785583,0
6,quadratic,1280,,39,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,29,22,0.6744899999999999,1.0,0.0009510866366326807,0.00024719033717701677,0.31508865021169186,0
7,quadratic,1280,,65,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,30,22,0.6744899999999999,1.0,0.0008726159576326609,0.00016470576883875765,0.2048404850065708,0
8,quadratic,1280,,69,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,31,22,0.6744899999999999,1.0,0.0008687839144840838,0.0003477992577245459,0.4432857297360897,0
9,quadratic,1280,,59,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,32,22,0.6744899999999999,1.0,0.0008796427282504738,0.00021230432503216434,0.2711554765701294,0
0,quadratic,2048,,14430,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,23,22,0.6744899999999999,1.0,7.846603393554687,0.18925395607948306,387.59210205078125,0
