,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
1,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,20002,65.44885969161986,0.1627604141831398,1.0800000429153442
2,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,20002,64.85692930221558,0.15494791977107525,1.0599999427795408
3,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,20002,64.13291120529175,0.14453125279396772,1.0800000429153442
4,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,20002,65.80143165588379,0.16406250186264515,1.1399999856948853
5,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,20002,63.827942848205566,0.16145833395421505,1.2200000286102295
6,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,20002,64.50257587432861,0.17057291511446238,1.0399999618530271
7,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,20002,63.66920185089111,0.14843750093132255,1.100000023841858
8,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,20002,69.50300931930542,0.18098958302289248,1.1200000047683716
9,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,20002,61.83773183822632,0.12760416511446238,1.1200000047683716
0,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,3777,245.91058731079102,0.3545675538480282,0.6800000071525574
