,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
0,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6350892782211304,0.0004134695918764919,0.7886850237846375,100
1,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6349867582321167,0.00041340282768942416,0.6281492710113525,100
2,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.7204213142395021,0.0004690242931246758,0.7141898274421692,100
3,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.7123574614524841,0.0004637743986677378,0.7016119956970215,100
4,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6863415241241455,0.00044683692976832384,0.6693581342697144,100
5,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6925428509712219,0.0004508742422331125,0.5956820845603943,100
6,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6635451316833496,0.00043199551873840386,0.7073107361793518,100
7,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6215376257896423,0.0004046468820888549,0.7149237990379333,100
8,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6883866786956787,0.00044816840090788895,0.6918525695800781,100
9,gd,quadratic,mse,1.5,1024,10,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,20002,2000,0.6259016990661621,0.0004074880853295326,0.6970070600509644,100
0,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,20002,2000,1.1958240270614624,0.00014597461267840117,0.0013818856095895171,100
1,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,12131,2000,0.6600078940391539,8.056736987782642e-05,0.0009999233298003674,100
2,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,12885,2000,0.5974589586257935,7.293200178537518e-05,0.0009999871253967283,100
3,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,12257,2000,0.6164324283599854,7.524809916503727e-05,0.0009999590693041682,100
4,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,12666,2000,0.647674024105072,7.906177052063867e-05,0.0009998881723731756,100
5,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,13879,2000,0.5655304193496704,6.903447501827031e-05,0.000999860349111259,100
6,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,13342,2000,0.5748564004898071,7.017290045041591e-05,0.00099996873177588,100
7,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,12912,2000,0.6023626327514648,7.353059481829406e-05,0.0009999073809012768,100
8,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,13213,2000,0.6193055510520935,7.559882214991376e-05,0.0009998903842642903,100
9,gd,quadratic,mse,8.0,1024,10,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,8192,13720,2000,0.5616552233695984,6.856142863398418e-05,0.0009999773465096948,100
0,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,2.248875856399536,0.001098083914257586,1.222459077835083,100
1,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,1.7224732637405396,0.0008410513983108102,1.123802900314331,100
2,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,1.9873406887054443,0.0009703811956569552,1.227088212966919,100
3,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,2.4320430755615234,0.0011875210329890251,1.3825839757919312,100
4,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,1.4532458782196045,0.0007095927139744163,1.275808811187744,100
5,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,2.1462373733520512,0.001047967467457056,1.361257791519165,100
6,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,2.317507266998291,0.0011315953452140093,1.2658041715621948,100
7,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,2.3633384704589844,0.001153973862528801,1.1866693496704102,100
8,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,1.979416251182556,0.0009665118413977324,1.2117071151733398,100
9,gd,quadratic,mse,2.0,1024,5,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2048,20002,2000,1.5108189582824707,0.0007377045694738626,1.2382851839065552,100
0,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,1.5231313109397888,0.0014610416837967932,1.3075087070465088,100
1,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.031315267086029,0.0020622489973902702,1.3476901054382324,100
2,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,1.0928261876106262,0.001041779003571719,0.9111962914466858,100
3,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,1.283767282962799,0.0012457837583497169,1.0675504207611084,100
4,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.117192387580872,0.002121392171829939,1.6686900854110718,100
5,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.4752172231674194,0.002412434318102896,1.6909581422805786,100
6,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.6624096632003784,0.0025034286081790924,1.864541292190552,100
