,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
2,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,231.75336456298828,0.150390625,1.0
3,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,232.20638275146484,0.150390625,0.9399999976158142
4,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,233.13208770751956,0.173828125,1.0199999809265137
5,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,231.7295455932617,0.1484375,1.0599999427795408
6,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,231.56641387939453,0.146484375,0.9399999976158142
7,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,233.1881561279297,0.162109375,0.9399999976158142
8,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,232.2881164550781,0.154296875,1.1599999666213991
9,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,229.53809356689453,0.138671875,1.1599999666213991
0,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,715.4094848632812,0.08131276071071625,0.30000001192092896
1,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,711.6118774414062,0.0864877812564373,0.239999994635582
2,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,725.4034118652344,0.08790978416800499,0.25999999046325684
