,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
4,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,782,1000,127.38239669799805,0.0,0.959999978542328,100
5,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,553,1000,133.67955017089844,0.0,0.9200000166893004,100
6,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,624,1000,125.45579528808594,0.0,1.0,100
7,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,531,1000,134.09904479980472,0.0,1.0599999427795408,100
8,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,290,1000,138.29288482666016,0.0,0.9200000166893004,100
9,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,630,1000,120.50615310668944,0.0,1.0,100
0,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1195.3012084960938,0.06201171875,0.2800000011920929,100
1,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1193.9092407226562,0.05810546875,0.4399999976158142,100
2,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1213.7631225585938,0.06005859375,0.8600000143051147,100
3,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1220.7666015625,0.078125,0.8199999928474426,100
4,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1187.4906005859375,0.07958984375,0.3400000035762787,100
5,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1223.3453369140625,0.08154296875,0.8799999952316284,100
6,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1217.1166381835938,0.05908203125,0.7400000095367432,100
7,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1211.8594970703125,0.0625,0.7599999904632568,100
8,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1201.8096313476562,0.05908203125,0.5400000214576721,100
9,sgd,symmetric-door,logloss,4.0,1024,5,0.005,0.9,True,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2048,10001,1000,1206.5819702148438,0.0517578125,0.699999988079071,100
0,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8197,1000,290.8197784423828,0.0,1.0399999618530271,100
1,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,7156,1000,292.5063171386719,0.0,1.100000023841858,100
2,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,6570,1000,286.46897888183594,0.0,1.0,100
3,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,6564,1000,276.1078643798828,0.0,0.9200000166893004,100
4,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8651,1000,285.8864440917969,0.0,0.9800000190734864,100
5,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8890,1000,283.68505859375,0.0,0.9399999976158142,100
6,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,6319,1000,299.0313873291016,0.0,1.100000023841858,100
7,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8672,1000,285.5455627441406,0.0,0.9800000190734864,100
8,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,4775,1000,280.0980224609375,0.0,0.8199999928474426,100
9,p-sgd,symmetric-door,logloss,1.0,1024,5,0.005,0.0,False,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,7522,1000,291.7465515136719,0.0,1.0,100
0,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,5729,1000,279.6053466796875,0.0,1.1399999856948853,100
1,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,4919,1000,282.9171447753906,0.0,1.0199999809265137,100
2,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,6958,1000,273.38104248046875,0.0,0.959999978542328,100
3,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8733,1000,271.0452880859375,0.0,0.959999978542328,100
4,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,5229,1000,283.9560546875,0.0,0.7599999904632568,100
5,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,5915,1000,277.7275390625,0.0,0.8799999952316284,100
