,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
2,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,22,5,25,100000,6.029378890991211,619.8334350585938
3,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,22,5,26,100000,8.241212844848633,530.1484375
4,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,22,5,27,100000,7.842203140258789,677.615234375
0,sgd,3.0,1024,1,32,0.002,0.9,False,10000,0,100,32,5,33,100000,16.140898704528812,155.20220184326172
1,sgd,3.0,1024,1,32,0.002,0.9,False,10000,0,100,32,5,34,100000,16.096358666817352,194.35139274597168
0,gd,3.5,1024,10,3584,0.002,0.9,False,10000,0,100,37,5,38,100000,0.028585530817508694,0.4386208951473236
1,gd,3.5,1024,10,3584,0.002,0.9,False,10000,0,100,37,5,39,100000,0.029029432684183117,0.4245876669883728
2,gd,3.5,1024,10,3584,0.002,0.9,False,10000,0,100,37,5,40,100000,0.02978750318288803,0.4716304242610931
3,gd,3.5,1024,10,3584,0.002,0.9,False,10000,0,100,37,5,41,100000,0.02976574003696442,0.5508714318275452
4,gd,3.5,1024,10,3584,0.002,0.9,False,10000,0,100,37,5,42,100000,0.031123390421271324,0.5678496360778809
0,gd,2.7,1024,5,2764,0.001,0.0,False,10000,0,100,22,5,23,100000,1.9896385669708248,97.41632843017578
0,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,37,5,38,100000,7.7582435607910165,704.3720092773438
1,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,37,5,39,100000,5.414239883422852,734.071044921875
2,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,37,5,40,100000,5.157904624938965,381.0552062988281
3,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,37,5,41,100000,6.601908206939697,800.8807373046875
4,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,37,5,42,100000,6.433182716369629,547.417724609375
0,gd,2.0,1024,5,2048,0.002,0.9,False,10000,0,100,32,5,33,100000,0.003189415205270052,261.23785400390625
1,gd,2.0,1024,5,2048,0.002,0.9,False,10000,0,100,32,5,34,100000,0.005477726925164461,277.54977416992193
2,gd,2.0,1024,5,2048,0.002,0.9,False,10000,0,100,32,5,35,100000,0.011932129971683024,332.73663330078125
3,gd,2.0,1024,5,2048,0.002,0.9,False,10000,0,100,32,5,36,100000,0.004183389712125063,269.63104248046875
4,gd,2.0,1024,5,2048,0.002,0.9,False,10000,0,100,32,5,37,100000,0.01094062440097332,268.4462890625
0,sgd,2.5,1024,1,32,0.01,0.0,False,10000,0,100,27,5,28,100000,10.82018455862999,153.72184705734253
0,sgd,4.0,1024,1,32,0.002,0.9,False,10000,0,100,22,5,23,100000,23.92450939118862,137.4492430686951
0,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,23,300,0.13668866455554962,0.009367122314870358
1,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,24,400,0.05025697126984596,0.004269808996468782
2,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,25,300,0.254049688577652,0.012261189520359041
3,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,26,10900,11020.693359375,455.4462890625
4,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,27,400,0.1372414231300354,0.0091070756316185
5,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,28,500,0.04943912476301193,0.003817873075604439
6,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,29,400,0.4721528291702271,0.023159746080636975
7,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,30,700,0.5975539088249207,0.028097975999116898
